gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,math mark,reading mark,writing mark
male,group C,some college,standard,none,56,54,43,3,3,2
male,group D,some high school,standard,none,96,83,82,5,5,5
male,group C,high school,standard,none,48,43,40,3,2,2
male,group C,associate's degree,standard,completed,70,76,72,4,4,4
male,group D,some college,free/reduced,none,43,68,58,2,4,3
female,group E,high school,free/reduced,none,45,46,49,3,3,3
female,group C,associate's degree,standard,none,58,68,62,3,4,3
female,group A,high school,standard,completed,70,73,80,4,4,4
female,group E,some high school,standard,none,60,61,58,3,3,3
male,group C,some high school,free/reduced,none,52,53,47,3,3,3
male,group C,associate's degree,free/reduced,none,61,62,54,3,3,3
female,group D,some high school,standard,none,55,70,61,3,4,3
male,group B,high school,standard,completed,80,80,79,4,4,4
male,group D,some college,free/reduced,none,63,60,54,3,3,3
female,group B,master's degree,standard,none,79,79,87,4,4,5
male,group A,associate's degree,standard,none,74,78,72,4,4,4
female,group B,some college,free/reduced,completed,46,58,64,3,3,3
female,group B,some high school,standard,completed,72,88,92,4,5,5
female,group E,some high school,free/reduced,none,58,64,64,3,3,3
female,group E,master's degree,standard,none,47,50,47,3,3,3
female,group D,bachelor's degree,standard,completed,68,78,84,4,4,5
male,group D,bachelor's degree,free/reduced,completed,68,71,67,4,4,4
female,group D,high school,standard,none,65,75,68,4,4,4
female,group B,associate's degree,standard,none,50,54,51,3,3,3
female,group B,high school,free/reduced,completed,48,71,68,3,4,4
female,group B,bachelor's degree,standard,none,58,60,64,3,3,3
male,group C,some high school,free/reduced,completed,71,74,68,4,4,4
male,group D,some high school,free/reduced,completed,58,52,48,3,3,3
female,group A,some college,free/reduced,none,66,90,83,4,5,5
male,group C,some college,free/reduced,none,44,53,43,2,3,2
female,group B,some high school,standard,completed,51,63,66,3,3,4
male,group A,some college,standard,completed,78,83,77,4,5,4
male,group C,high school,standard,none,72,71,65,4,4,4
female,group D,associate's degree,standard,none,60,64,67,3,3,4
female,group C,associate's degree,free/reduced,none,55,61,60,3,3,3
male,group B,some high school,standard,none,64,67,64,3,4,3
female,group C,some high school,free/reduced,none,57,64,60,3,3,3
female,group A,high school,standard,none,70,75,74,4,4,4
male,group D,some high school,standard,completed,84,72,76,5,4,4
female,group B,some college,standard,completed,66,71,76,4,4,4
female,group C,bachelor's degree,free/reduced,completed,56,65,73,3,4,4
male,group E,some college,free/reduced,completed,59,53,56,3,3,3
female,group E,bachelor's degree,standard,none,87,89,84,5,5,5
male,group E,high school,free/reduced,none,73,75,64,4,4,3
female,group A,high school,standard,none,85,91,89,5,5,5
male,group B,some college,free/reduced,none,49,54,42,3,3,2
female,group C,bachelor's degree,standard,completed,82,87,90,5,5,5
female,group D,some college,standard,none,80,90,90,4,5,5
female,group E,high school,standard,none,48,51,43,3,3,2
female,group D,high school,standard,completed,85,83,94,5,5,5
female,group E,some high school,standard,completed,70,78,76,4,4,4
male,group E,associate's degree,standard,completed,89,84,81,5,5,4
female,group D,high school,standard,completed,72,86,79,4,5,4
female,group D,some high school,free/reduced,none,80,86,87,4,5,5
female,group D,some high school,free/reduced,none,43,57,50,2,3,3
male,group C,some high school,free/reduced,completed,54,61,61,3,3,3
male,group A,associate's degree,free/reduced,completed,82,82,78,5,5,4
male,group C,bachelor's degree,free/reduced,none,74,80,78,4,4,4
female,group C,some college,standard,none,63,62,64,3,3,3
female,group C,high school,free/reduced,none,47,56,51,3,3,3
female,group C,some college,free/reduced,none,13,29,23,2,2,2
male,group D,some college,free/reduced,none,67,58,56,4,3,3
male,group C,some high school,standard,none,57,59,54,3,3,3
female,group B,some high school,standard,none,64,78,83,3,4,5
female,group D,associate's degree,standard,none,85,100,100,5,5,5
female,group B,associate's degree,standard,completed,70,80,86,4,4,5
male,group B,bachelor's degree,standard,completed,90,73,83,5,4,5
female,group A,some college,free/reduced,completed,53,70,69,3,4,4
male,group C,some college,standard,completed,74,73,75,4,4,4
male,group A,associate's degree,standard,completed,61,71,67,3,4,4
female,group C,some high school,standard,completed,55,74,73,3,4,4
female,group B,some college,standard,completed,65,63,66,4,3,4
female,group A,high school,standard,none,77,77,79,4,4,4
male,group C,associate's degree,standard,none,74,61,56,4,3,3
male,group D,some college,standard,none,94,92,85,5,5,5
female,group B,associate's degree,standard,completed,54,64,68,3,3,4
male,group A,high school,standard,none,52,49,43,3,3,2
male,group D,some college,standard,none,73,75,71,4,4,4
male,group C,high school,standard,none,81,72,58,4,4,3
female,group B,bachelor's degree,free/reduced,none,62,75,72,3,4,4
female,group C,master's degree,free/reduced,none,55,60,61,3,3,3
male,group C,some high school,free/reduced,completed,55,61,61,3,3,3
female,group D,some high school,standard,none,61,62,61,3,3,3
male,group E,high school,standard,none,75,70,64,4,4,3
male,group E,some college,free/reduced,none,79,65,59,4,4,3
female,group C,some high school,standard,none,70,70,68,4,4,4
male,group A,some college,standard,none,72,65,59,4,4,3
female,group C,some high school,free/reduced,none,38,46,33,2,3,2
female,group A,bachelor's degree,standard,none,57,71,63,3,4,3
male,group D,some high school,standard,none,76,71,70,4,4,4
male,group C,some college,free/reduced,none,45,45,38,3,3,2
male,group D,associate's degree,standard,none,77,73,74,4,4,4
male,group C,high school,standard,none,40,39,30,2,2,2
female,group E,some college,standard,none,78,83,78,4,5,4
female,group A,master's degree,free/reduced,none,63,65,66,3,4,4
male,group C,associate's degree,standard,none,83,70,73,5,4,4
male,group C,associate's degree,free/reduced,none,55,52,47,3,3,3
male,group B,some college,standard,completed,88,78,76,5,4,4
male,group C,bachelor's degree,standard,none,82,83,85,5,5,5
male,group E,bachelor's degree,standard,none,86,71,71,5,4,4
female,group C,associate's degree,free/reduced,none,61,74,72,3,4,4
female,group D,some college,standard,completed,78,85,93,4,5,5
male,group C,associate's degree,standard,none,67,63,66,4,3,4
female,group E,some high school,standard,none,83,87,83,5,5,5
male,group C,some high school,standard,none,68,74,69,4,4,4
male,group C,some college,standard,none,53,52,44,3,3,2
male,group D,associate's degree,standard,none,91,88,90,5,5,5
male,group B,associate's degree,free/reduced,none,67,66,66,4,4,4
female,group C,high school,standard,completed,53,64,62,3,3,3
female,group C,master's degree,standard,completed,86,100,100,5,5,5
male,group E,some high school,free/reduced,completed,75,70,61,4,4,3
male,group C,some college,standard,none,55,38,35,3,2,2
male,group D,bachelor's degree,standard,completed,93,86,95,5,5,5
female,group E,high school,standard,none,62,71,66,3,4,4
male,group C,some college,free/reduced,none,83,76,71,5,4,4
male,group D,some high school,standard,none,73,72,64,4,4,3
female,group C,high school,free/reduced,none,57,52,53,3,3,3
female,group C,some college,standard,none,70,75,75,4,4,4
female,group B,high school,standard,completed,55,62,64,3,3,3
male,group C,high school,standard,none,65,56,51,4,3,3
female,group C,some high school,standard,completed,76,85,88,4,5,5
male,group C,master's degree,free/reduced,none,59,47,46,3,3,3
male,group C,associate's degree,standard,completed,74,73,77,4,4,4
male,group B,some high school,standard,none,65,59,60,4,3,3
male,group B,some college,standard,completed,89,87,89,5,5,5
female,group B,master's degree,standard,none,71,82,82,4,5,5
male,group C,some college,free/reduced,completed,63,69,59,3,4,3
male,group C,some high school,standard,completed,57,55,60,3,3,3
male,group B,some college,free/reduced,completed,56,67,56,3,4,3
male,group A,some high school,free/reduced,completed,49,44,41,3,2,2
female,group C,some college,free/reduced,completed,28,44,50,2,2,3
female,group C,bachelor's degree,free/reduced,none,69,73,71,4,4,4
female,group D,some high school,free/reduced,none,49,62,60,3,3,3
male,group B,some high school,standard,completed,67,62,58,4,3,3
female,group B,some college,free/reduced,completed,74,85,82,4,5,5
female,group C,bachelor's degree,standard,completed,47,67,63,3,4,3
female,group C,some college,standard,none,63,63,69,3,3,4
male,group C,some college,standard,none,73,51,53,4,3,3
female,group D,some college,standard,none,91,94,96,5,5,5
male,group B,some college,standard,none,80,87,79,4,5,4
female,group C,associate's degree,standard,none,66,73,68,4,4,4
male,group B,some college,standard,none,52,48,43,3,3,2
female,group B,some college,standard,none,65,71,65,4,4,4
male,group D,some college,standard,completed,83,75,71,5,4,4
female,group C,some high school,free/reduced,none,80,85,78,4,5,4
male,group E,bachelor's degree,free/reduced,none,68,68,59,4,4,3
male,group C,some college,free/reduced,completed,68,73,68,4,4,4
male,group C,associate's degree,free/reduced,none,62,43,45,3,2,3
female,group B,some high school,standard,none,76,88,84,4,5,5
female,group C,bachelor's degree,free/reduced,none,77,79,83,4,4,5
female,group E,master's degree,free/reduced,none,83,81,83,5,4,5
female,group C,some college,free/reduced,none,71,78,82,4,4,5
male,group D,some college,free/reduced,completed,86,91,89,5,5,5
male,group B,master's degree,standard,none,93,96,96,5,5,5
female,group B,associate's degree,free/reduced,none,60,64,60,3,3,3
female,group D,some high school,standard,none,57,56,58,3,3,3
male,group C,bachelor's degree,standard,none,84,79,74,5,4,4
female,group D,bachelor's degree,standard,none,66,71,75,4,4,4
male,group D,master's degree,standard,none,85,69,74,5,4,4
female,group D,master's degree,standard,completed,57,68,76,3,4,4
female,group C,some high school,standard,none,41,49,49,2,3,3
female,group C,some high school,standard,none,75,76,76,4,4,4
male,group D,high school,free/reduced,none,65,63,60,4,3,3
male,group E,some college,standard,none,78,65,60,4,4,3
female,group B,some high school,free/reduced,none,26,34,28,2,2,2
male,group E,some college,free/reduced,none,71,64,66,4,3,4
male,group B,bachelor's degree,standard,completed,86,92,93,5,5,5
male,group B,associate's degree,standard,completed,89,84,81,5,5,4
female,group B,high school,free/reduced,none,53,64,63,3,3,3
female,group C,associate's degree,standard,none,87,87,92,5,5,5
male,group D,associate's degree,standard,none,71,57,59,4,3,3
male,group D,high school,standard,none,77,80,72,4,4,4
female,group C,high school,free/reduced,completed,43,48,53,2,3,3
female,group C,associate's degree,standard,none,88,91,86,5,5,5
male,group E,some high school,standard,none,86,76,63,5,4,3
female,group E,some high school,free/reduced,completed,45,56,55,3,3,3
male,group C,some college,standard,none,69,56,57,4,3,3
female,group D,high school,standard,none,65,70,72,4,4,4
male,group E,some college,free/reduced,none,81,79,71,4,4,4
female,group A,some high school,standard,none,90,88,86,5,5,5
female,group E,associate's degree,standard,none,78,72,71,4,4,4
female,group C,master's degree,standard,completed,71,79,89,4,4,5
female,group C,some high school,standard,none,75,80,72,4,4,4
male,group C,bachelor's degree,free/reduced,none,70,60,56,4,3,3
male,group B,associate's degree,standard,none,54,52,48,3,3,3
male,group B,high school,standard,none,49,36,32,3,2,2
male,group B,associate's degree,free/reduced,completed,80,82,82,4,5,5
female,group E,bachelor's degree,standard,none,78,89,93,4,5,5
male,group C,bachelor's degree,standard,none,89,77,82,5,4,5
female,group C,bachelor's degree,standard,completed,65,83,82,4,5,5
male,group D,associate's degree,standard,none,78,74,71,4,4,4
female,group D,high school,standard,none,69,85,78,4,5,4
male,group D,some college,free/reduced,none,49,47,48,3,3,3
female,group D,master's degree,free/reduced,none,50,64,66,3,3,4
female,group E,some college,standard,none,79,76,71,4,4,4
female,group D,some college,standard,completed,89,92,97,5,5,5
male,group A,associate's degree,free/reduced,completed,48,61,59,3,3,3
female,group A,bachelor's degree,standard,none,63,67,71,3,4,4
female,group C,some college,standard,none,88,100,88,5,5,5
female,group D,associate's degree,standard,none,66,73,73,4,4,4
female,group B,some college,free/reduced,none,45,59,56,3,3,3
female,group E,some high school,standard,completed,62,78,73,3,4,4
male,group D,some college,free/reduced,completed,74,80,86,4,4,5
female,group D,bachelor's degree,free/reduced,none,82,87,90,5,5,5
male,group E,some college,free/reduced,completed,83,63,63,5,3,3
female,group D,some high school,free/reduced,completed,60,72,76,3,4,4
female,group D,high school,standard,none,66,73,72,4,4,4
male,group C,bachelor's degree,free/reduced,none,76,66,68,4,4,4
male,group B,associate's degree,standard,completed,75,74,76,4,4,4
male,group B,some college,standard,completed,77,72,79,4,4,4
female,group E,some college,free/reduced,none,82,88,86,5,5,5
male,group C,associate's degree,standard,completed,63,59,60,3,3,3
female,group D,high school,standard,none,70,85,85,4,5,5
male,group D,associate's degree,standard,completed,84,71,76,5,4,4
male,group C,high school,standard,completed,68,60,63,4,3,3
male,group C,some college,free/reduced,none,56,58,50,3,3,3
female,group C,associate's degree,free/reduced,none,37,46,43,2,3,2
female,group D,some high school,standard,none,49,56,53,3,3,3
female,group E,some college,standard,completed,100,100,100,5,5,5
male,group D,some college,standard,none,83,68,65,5,4,4
female,group E,master's degree,free/reduced,completed,92,100,98,5,5,5
male,group E,master's degree,free/reduced,none,71,62,66,4,3,4
male,group D,associate's degree,free/reduced,completed,72,76,73,4,4,4
female,group D,bachelor's degree,free/reduced,none,37,53,48,2,3,3
male,group C,bachelor's degree,free/reduced,none,35,43,35,2,2,2
male,group C,some college,free/reduced,none,69,68,62,4,4,3
female,group C,bachelor's degree,standard,none,65,73,81,4,4,4
male,group E,high school,free/reduced,none,56,48,36,3,3,2
female,group D,high school,standard,none,40,46,57,2,3,3
female,group E,high school,standard,none,60,62,60,3,3,3
female,group C,some high school,standard,none,57,66,73,3,4,4
female,group C,some high school,free/reduced,completed,58,62,66,3,3,4
female,group D,some college,standard,completed,74,95,94,4,5,5
female,group B,some college,standard,none,77,77,83,4,4,5
male,group E,some college,free/reduced,none,66,57,53,4,3,3
female,group D,some college,standard,completed,62,79,87,3,4,5
male,group C,high school,free/reduced,none,29,38,27,2,2,2
female,group B,some college,standard,none,70,73,66,4,4,4
male,group A,associate's degree,free/reduced,none,67,64,60,4,3,3
female,group C,high school,standard,completed,81,91,94,4,5,5
male,group C,associate's degree,free/reduced,none,56,50,43,3,3,2
female,group D,some college,free/reduced,none,61,79,76,3,4,4
female,group D,high school,free/reduced,completed,47,54,56,3,3,3
male,group A,bachelor's degree,standard,completed,88,87,94,5,5,5
male,group C,some college,standard,completed,51,52,52,3,3,3
male,group C,master's degree,standard,none,68,60,62,4,3,3
female,group B,associate's degree,standard,none,68,71,71,4,4,4
female,group B,high school,free/reduced,none,47,49,50,3,3,3
male,group E,master's degree,free/reduced,completed,84,77,82,5,4,5
male,group B,some college,free/reduced,none,69,72,68,4,4,4
female,group D,bachelor's degree,standard,completed,52,69,75,3,4,4
male,group B,associate's degree,standard,none,80,79,79,4,4,4
male,group C,bachelor's degree,standard,none,100,84,88,5,5,5
male,group C,high school,standard,completed,53,59,64,3,3,3
female,group B,master's degree,standard,completed,59,73,74,3,4,4
female,group B,some college,standard,none,78,96,89,4,5,5
female,group B,associate's degree,standard,none,84,87,89,5,5,5
female,group C,high school,free/reduced,none,52,72,71,3,4,4
male,group C,associate's degree,free/reduced,none,81,78,75,4,4,4
female,group C,associate's degree,standard,completed,90,95,100,5,5,5
female,group A,high school,standard,none,63,73,66,3,4,4
male,group D,bachelor's degree,standard,completed,100,97,100,5,5,5
female,group B,some college,standard,none,56,63,62,3,3,3
female,group B,some college,standard,none,46,54,54,3,3,3
female,group B,high school,free/reduced,completed,75,85,90,4,5,5
female,group A,some college,standard,none,46,51,54,3,3,3
male,group A,some high school,free/reduced,none,42,40,40,2,2,2
female,group C,some high school,standard,completed,77,86,90,4,5,5
female,group C,some college,free/reduced,none,40,63,56,2,3,3
female,group D,high school,standard,none,69,71,76,4,4,4
male,group C,high school,standard,none,43,50,45,2,3,3
female,group C,associate's degree,standard,completed,69,75,71,4,4,4
female,group D,bachelor's degree,standard,completed,89,93,100,5,5,5
male,group B,associate's degree,standard,none,44,34,36,2,2,2
male,group D,high school,free/reduced,completed,82,83,77,5,5,4
male,group D,associate's degree,free/reduced,none,72,72,65,4,4,4
male,group C,bachelor's degree,standard,none,64,53,50,3,3,3
male,group D,some high school,standard,none,89,73,70,5,4,4
male,group E,associate's degree,free/reduced,none,58,53,54,3,3,3
female,group A,high school,standard,completed,63,81,78,3,4,4
female,group A,bachelor's degree,standard,none,54,66,69,3,4,4
male,group C,high school,free/reduced,completed,83,78,82,5,4,5
female,group C,high school,standard,none,57,74,64,3,4,3
female,group C,high school,standard,none,52,47,48,3,3,3
female,group D,high school,standard,completed,75,93,97,4,5,5
male,group E,high school,free/reduced,completed,67,66,64,4,4,3
male,group B,some high school,standard,none,58,60,53,3,3,3
female,group B,bachelor's degree,free/reduced,none,63,66,68,3,4,4
female,group D,some high school,free/reduced,none,49,64,57,3,3,3
female,group D,some college,free/reduced,none,38,47,52,2,3,3
female,group B,some college,standard,completed,74,85,84,4,5,5
male,group C,associate's degree,free/reduced,completed,69,84,82,4,5,5
female,group D,associate's degree,standard,none,77,82,80,4,5,4
female,group A,master's degree,free/reduced,none,40,59,59,2,3,3
female,group B,master's degree,standard,completed,96,98,100,5,5,5
female,group B,bachelor's degree,standard,none,85,86,85,5,5,5
male,group D,associate's degree,standard,none,85,77,76,5,4,4
male,group C,high school,standard,none,72,59,54,4,3,3
female,group B,associate's degree,free/reduced,none,63,78,73,3,4,4
male,group B,some high school,standard,none,58,67,58,3,4,3
male,group B,bachelor's degree,free/reduced,none,58,64,54,3,3,3
male,group C,high school,free/reduced,none,51,57,53,3,3,3
female,group D,master's degree,standard,completed,100,100,100,5,5,5
female,group D,master's degree,standard,none,77,84,92,4,5,5
male,group E,bachelor's degree,free/reduced,none,63,56,56,3,3,3
female,group C,some college,standard,none,64,67,68,3,4,4
male,group E,high school,standard,none,100,82,80,5,5,4
male,group C,associate's degree,standard,none,66,65,65,4,4,4
male,group E,bachelor's degree,standard,none,87,87,84,5,5,5
male,group C,high school,standard,none,73,72,69,4,4,4
male,group C,master's degree,free/reduced,completed,69,66,65,4,4,4
female,group C,high school,standard,none,62,64,63,3,3,3
female,group C,some high school,standard,none,40,48,49,2,3,3
male,group C,some college,free/reduced,completed,55,68,60,3,4,3
male,group D,high school,standard,completed,77,77,78,4,4,4
male,group D,some college,standard,completed,63,70,71,3,4,4
male,group D,associate's degree,standard,completed,85,85,91,5,5,5
female,group B,high school,free/reduced,none,30,43,40,2,2,2
male,group B,high school,standard,none,82,77,71,5,4,4
male,group D,associate's degree,free/reduced,completed,81,71,70,4,4,4
female,group C,some high school,standard,completed,92,100,97,5,5,5
male,group B,some college,free/reduced,none,50,48,36,3,3,2
female,group B,associate's degree,standard,none,54,60,56,3,3,3
male,group C,associate's degree,standard,completed,76,83,78,4,5,4
female,group D,some high school,standard,none,60,68,74,3,4,4
female,group A,associate's degree,free/reduced,completed,45,72,66,3,4,4
male,group D,high school,standard,none,80,77,72,4,4,4
male,group D,some high school,free/reduced,none,52,45,48,3,3,3
female,group C,high school,standard,completed,90,89,97,5,5,5
female,group D,high school,free/reduced,none,53,65,69,3,4,4
female,group C,associate's degree,standard,none,92,95,95,5,5,5
female,group C,some college,standard,completed,63,78,75,3,4,4
female,group B,some high school,standard,none,71,77,79,4,4,4
